pokedex_number,pokemon_name,next_evolution,pokemon_weight,pokemon_height,pokemon_type,pokemon_abilities
0001,Bulbasaur,"##0001 - Bulbasaur (https://pokemondb.net/pokedex/bulbasaur), ##0002 - Ivysaur (https://pokemondb.net/pokedex/ivysaur), ##0003 - Venusaur (https://pokemondb.net/pokedex/venusaur)",6.9 kg,70.0 cm,Grass,"Growl (https://pokemondb.net/move/growl), Ghost (https://pokemondb.net/type/ghost), Take Down (https://pokemondb.net/move/take-down), Growl (https://pokemondb.net/move/growl), Psychic (https://pokemondb.net/type/psychic), Toxic (https://pokemondb.net/move/toxic)"
0026,Raichu,"##0172 - Pichu (https://pokemondb.net/pokedex/pichu), ##0025 - Pikachu (https://pokemondb.net/pokedex/pikachu), ##0026 - Raichu (https://pokemondb.net/pokedex/raichu), ##0026 - Raichu (https://pokemondb.net/pokedex/raichu)",30.0 kg,80.0 cm,Electric,"Agility (https://pokemondb.net/move/agility), Electric (https://pokemondb.net/type/electric), Psychic (https://pokemondb.net/type/psychic), Electric (https://pokemondb.net/type/electric), Take Down (https://pokemondb.net/move/take-down), Take Down (https://pokemondb.net/move/take-down), Thunder Shock (https://pokemondb.net/move/thunder-shock), Fairy (https://pokemondb.net/type/fairy)"
0032,Nidoran♂ (male),"##0032 - Nidoran♂ (https://pokemondb.net/pokedex/nidoran-m), ##0033 - Nidorino (https://pokemondb.net/pokedex/nidorino), ##0034 - Nidoking (https://pokemondb.net/pokedex/nidoking)",9.0 kg,50.0 cm,Poison,"Leer (https://pokemondb.net/move/leer), Psychic (https://pokemondb.net/type/psychic), Water Pulse (https://pokemondb.net/move/water-pulse), Leer (https://pokemondb.net/move/leer), Psychic (https://pokemondb.net/type/psychic), Dig (https://pokemondb.net/move/dig), Body Slam (https://pokemondb.net/move/body-slam)"
0031,Nidoqueen,"##0029 - Nidoran♀ (https://pokemondb.net/pokedex/nidoran-f), ##0030 - Nidorina (https://pokemondb.net/pokedex/nidorina), ##0031 - Nidoqueen (https://pokemondb.net/pokedex/nidoqueen)",60.0 kg,130.0 cm,Poison,"Bite (https://pokemondb.net/move/bite), Fighting (https://pokemondb.net/type/fighting), Dark (https://pokemondb.net/type/dark), Focus Punch (https://pokemondb.net/move/focus-punch), Bite (https://pokemondb.net/move/bite), Fighting (https://pokemondb.net/type/fighting), Ground (https://pokemondb.net/type/ground), Mega Punch (https://pokemondb.net/move/mega-punch), Body Slam (https://pokemondb.net/move/body-slam)"
0025,Pikachu,"##0172 - Pichu (https://pokemondb.net/pokedex/pichu), ##0025 - Pikachu (https://pokemondb.net/pokedex/pikachu), ##0026 - Raichu (https://pokemondb.net/pokedex/raichu), ##0026 - Raichu (https://pokemondb.net/pokedex/raichu)",6.0 kg,40.0 cm,Electric,"Charm (https://pokemondb.net/move/charm), Electric (https://pokemondb.net/type/electric), Take Down (https://pokemondb.net/move/take-down), Thunder Shock (https://pokemondb.net/move/thunder-shock), Fairy (https://pokemondb.net/type/fairy)"
0029,Nidoran♀ (female),"##0029 - Nidoran♀ (https://pokemondb.net/pokedex/nidoran-f), ##0030 - Nidorina (https://pokemondb.net/pokedex/nidorina), ##0031 - Nidoqueen (https://pokemondb.net/pokedex/nidoqueen)",7.0 kg,40.0 cm,Poison,"Growl (https://pokemondb.net/move/growl), Dark (https://pokemondb.net/type/dark), Water Pulse (https://pokemondb.net/move/water-pulse), Growl (https://pokemondb.net/move/growl), Fighting (https://pokemondb.net/type/fighting), Dig (https://pokemondb.net/move/dig), Body Slam (https://pokemondb.net/move/body-slam)"
0030,Nidorina,"##0029 - Nidoran♀ (https://pokemondb.net/pokedex/nidoran-f), ##0030 - Nidorina (https://pokemondb.net/pokedex/nidorina), ##0031 - Nidoqueen (https://pokemondb.net/pokedex/nidoqueen)",20.0 kg,80.0 cm,Poison,"Growl (https://pokemondb.net/move/growl), Dark (https://pokemondb.net/type/dark), Water Pulse (https://pokemondb.net/move/water-pulse), Growl (https://pokemondb.net/move/growl), Dig (https://pokemondb.net/move/dig), Body Slam (https://pokemondb.net/move/body-slam)"
0024,Arbok,"##0023 - Ekans (https://pokemondb.net/pokedex/ekans), ##0024 - Arbok (https://pokemondb.net/pokedex/arbok)",65.0 kg,350.0 cm,Poison,"Bite (https://pokemondb.net/move/bite), Dark (https://pokemondb.net/type/dark), Take Down (https://pokemondb.net/move/take-down), Bite (https://pokemondb.net/move/bite), Dark (https://pokemondb.net/type/dark), Dark (https://pokemondb.net/type/dark), Sunny Day (https://pokemondb.net/move/sunny-day)"
0023,Ekans,"##0023 - Ekans (https://pokemondb.net/pokedex/ekans), ##0024 - Arbok (https://pokemondb.net/pokedex/arbok)",6.9 kg,200.0 cm,Poison,"Leer (https://pokemondb.net/move/leer), Poison (https://pokemondb.net/type/poison), Take Down (https://pokemondb.net/move/take-down), Leer (https://pokemondb.net/move/leer), Dark (https://pokemondb.net/type/dark), Sunny Day (https://pokemondb.net/move/sunny-day)"
0022,Fearow,"##0021 - Spearow (https://pokemondb.net/pokedex/spearow), ##0022 - Fearow (https://pokemondb.net/pokedex/fearow)",38.0 kg,120.0 cm,Normal,"Drill Run (https://pokemondb.net/move/drill-run), Ghost (https://pokemondb.net/type/ghost), Work Up (https://pokemondb.net/move/work-up), Drill Run (https://pokemondb.net/move/drill-run), Headbutt (https://pokemondb.net/move/headbutt)"
0027,Sandshrew,"##0027 - Sandshrew (https://pokemondb.net/pokedex/sandshrew), ##0028 - Sandslash (https://pokemondb.net/pokedex/sandslash), ##0027 - Sandshrew (https://pokemondb.net/pokedex/sandshrew), ##0028 - Sandslash (https://pokemondb.net/pokedex/sandslash)",12.0 kg,60.0 cm,Ground,"Defense Curl (https://pokemondb.net/move/defense-curl), Defense Curl (https://pokemondb.net/move/defense-curl), Fighting (https://pokemondb.net/type/fighting), Fighting (https://pokemondb.net/type/fighting), Take Down (https://pokemondb.net/move/take-down), Take Down (https://pokemondb.net/move/take-down), Defense Curl (https://pokemondb.net/move/defense-curl), Fighting (https://pokemondb.net/type/fighting), Focus Punch (https://pokemondb.net/move/focus-punch)"
